004, AFG (Afghanistan)
008, ALB (Albania)
012, DZA (Algeria)
016, ASM (American Samoa)
020, AND (Andorra)
024, AGO (Angola)
660, AIA (Anguilla)
010, ATA (Antarctica)
028, ATG (Antigua and Barbuda)
032, ARG (Argentina)
051, ARM (Armenia)
533, ABW (Aruba)
036, AUS (Australia)
040, AUT (Austria)
031, AZE (Azerbaijan)
044, BHS (Bahamas)
048, BHR (Bahrain)
050, BGD (Bangladesh)
052, BRB (Barbados)
112, BLR (Belarus)
056, BEL (Belgium)
084, BLZ (Belize)
204, BEN (Benin)
060, BMU (Bermuda)
064, BTN (Bhutan)
068, BOL (Bolivia, Plurinational State of)
535, BES (Bonaire, Sint Eustatius and Saba)
070, BIH (Bosnia and Herzegovina)
072, BWA (Botswana)
074, BVT (Bouvet Island)
076, BRA (Brazil)
086, IOT (British Indian Ocean Territory)
096, BRN (Brunei Darussalam)
100, BGR (Bulgaria)
854, BFA (Burkina Faso)
108, BDI (Burundi)
116, KHM (Cambodia)
120, CMR (Cameroon)
124, CAN (Canada)
132, CPV (Cape Verde)
136, CYM (Cayman Islands)
140, CAF (Central African Republic)
148, TCD (Chad)
152, CHL (Chile)
156, CHN (China)
162, CXR (Christmas Island)
166, CCK (Cocos (Keeling) Islands)
170, COL (Colombia)
174, COM (Comoros)
178, COG (Congo)
180, COD (Congo, the Democratic Republic of the)
184, COK (Cook Islands)
188, CRI (Costa Rica)
191, HRV (Croatia)
192, CUB (Cuba)
531, CUW (Curaçao)
196, CYP (Cyprus)
203, CZE (Czech Republic)
384, CIV (Côte d'Ivoire)
208, DNK (Denmark)
262, DJI (Djibouti)
212, DMA (Dominica)
214, DOM (Dominican Republic)
218, ECU (Ecuador)
818, EGY (Egypt)
222, SLV (El Salvador)
226, GNQ (Equatorial Guinea)
232, ERI (Eritrea)
233, EST (Estonia)
231, ETH (Ethiopia)
238, FLK (Falkland Islands (Malvinas))
234, FRO (Faroe Islands)
242, FJI (Fiji)
246, FIN (Finland)
250, FRA (France)
254, GUF (French Guiana)
258, PYF (French Polynesia)
260, ATF (French Southern Territories)
266, GAB (Gabon)
270, GMB (Gambia)
268, GEO (Georgia)
280, DEU (Germany)
288, GHA (Ghana)
292, GIB (Gibraltar)
300, GRC (Greece)
304, GRL (Greenland)
308, GRD (Grenada)
312, GLP (Guadeloupe)
316, GUM (Guam)
320, GTM (Guatemala)
831, GGY (Guernsey)
324, GIN (Guinea)
624, GNB (Guinea-Bissau)
328, GUY (Guyana)
332, HTI (Haiti)
334, HMD (Heard Island and McDonald Mcdonald Islands)
336, VAT (Holy See (Vatican City State))
340, HND (Honduras)
344, HKG (Hong Kong)
348, HUN (Hungary)
352, ISL (Iceland)
356, IND (India)
360, IDN (Indonesia)
364, IRN (Iran, Islamic Republic of)
368, IRQ (Iraq)
372, IRL (Ireland)
833, IMN (Isle of Man)
376, ISR (Israel)
380, ITA (Italy)
388, JAM (Jamaica)
392, JPN (Japan)
832, JEY (Jersey)
400, JOR (Jordan)
398, KAZ (Kazakhstan)
404, KEN (Kenya)
296, KIR (Kiribati)
408, PRK (Korea, Democratic People's Republic of)
410, KOR (Korea, Republic of)
414, KWT (Kuwait)
417, KGZ (Kyrgyzstan)
418, LAO (Lao People's Democratic Republic)
428, LVA (Latvia)
422, LBN (Lebanon)
426, LSO (Lesotho)
430, LBR (Liberia)
434, LBY (Libya)
438, LIE (Liechtenstein)
440, LTU (Lithuania)
442, LUX (Luxembourg)
446, MAC (Macao)
807, MKD (Macedonia, the Former Yugoslav Republic of)
450, MDG (Madagascar)
454, MWI (Malawi)
458, MYS (Malaysia)
462, MDV (Maldives)
466, MLI (Mali)
470, MLT (Malta)
584, MHL (Marshall Islands)
474, MTQ (Martinique)
478, MRT (Mauritania)
480, MUS (Mauritius)
175, MYT (Mayotte)
484, MEX (Mexico)
583, FSM (Micronesia, Federated States of)
498, MDA (Moldova, Republic of)
492, MCO (Monaco)
496, MNG (Mongolia)
499, MNE (Montenegro)
500, MSR (Montserrat)
504, MAR (Morocco)
508, MOZ (Mozambique)
104, MMR (Myanmar)
516, NAM (Namibia)
520, NRU (Nauru)
524, NPL (Nepal)
528, NLD (Netherlands)
540, NCL (New Caledonia)
554, NZL (New Zealand)
558, NIC (Nicaragua)
562, NER (Niger)
566, NGA (Nigeria)
570, NIU (Niue)
574, NFK (Norfolk Island)
580, MNP (Northern Mariana Islands)
578, NOR (Norway)
512, OMN (Oman)
586, PAK (Pakistan)
585, PLW (Palau)
275, PSE (Palestine, State of)
591, PAN (Panama)
598, PNG (Papua New Guinea)
600, PRY (Paraguay)
604, PER (Peru)
608, PHL (Philippines)
612, PCN (Pitcairn)
616, POL (Poland)
620, PRT (Portugal)
630, PRI (Puerto Rico)
634, QAT (Qatar)
642, ROU (Romania)
643, RUS (Russian Federation)
646, RWA (Rwanda)
638, REU (Réunion)
652, BLM (Saint Barthélemy)
654, SHN (Saint Helena, Ascension and Tristan da Cunha)
659, KNA (Saint Kitts and Nevis)
662, LCA (Saint Lucia)
663, MAF (Saint Martin (French part))
666, SPM (Saint Pierre and Miquelon)
670, VCT (Saint Vincent and the Grenadines)
882, WSM (Samoa)
674, SMR (San Marino)
678, STP (Sao Tome and Principe)
682, SAU (Saudi Arabia)
686, SEN (Senegal)
688, SRB (Serbia)
690, SYC (Seychelles)
694, SLE (Sierra Leone)
702, SGP (Singapore)
534, SXM (Sint Maarten (Dutch part))
703, SVK (Slovakia)
705, SVN (Slovenia)
090, SLB (Solomon Islands)
706, SOM (Somalia)
710, ZAF (South Africa)
239, SGS (South Georgia and the South Sandwich Islands)
728, SSD (South Sudan)
724, ESP (Spain)
144, LKA (Sri Lanka)
729, SDN (Sudan)
740, SUR (Suriname)
744, SJM (Svalbard and Jan Mayen)
748, SWZ (Swaziland)
752, SWE (Sweden)
756, CHE (Switzerland)
760, SYR (Syrian Arab Republic)
158, TWN (Taiwan, Province of China)
762, TJK (Tajikistan)
834, TZA (Tanzania, United Republic of)
764, THA (Thailand)
626, TLS (Timor-Leste)
768, TGO (Togo)
772, TKL (Tokelau)
776, TON (Tonga)
780, TTO (Trinidad and Tobago)
788, TUN (Tunisia)
792, TUR (Turkey)
795, TKM (Turkmenistan)
796, TCA (Turks and Caicos Islands)
798, TUV (Tuvalu)
800, UGA (Uganda)
804, UKR (Ukraine)
784, ARE (United Arab Emirates)
826, GBR (United Kingdom)
840, USA (United States)
581, UMI (United States Minor Outlying Islands)
858, URY (Uruguay)
860, UZB (Uzbekistan)
548, VUT (Vanuatu)
862, VEN (Venezuela, Bolivarian Republic of)
704, VNM (Viet Nam)
092, VGB (Virgin Islands, British)
850, VIR (Virgin Islands, U.S.)
876, WLF (Wallis and Futuna)
732, ESH (Western Sahara)
887, YEM (Yemen)
894, ZMB (Zambia)
716, ZWE (Zimbabwe)
248, ALA (Åland Islands)
